work_id,team_hss_dna_pct,_hss_main,year,arxiv_primary_category,log_team_size,log_prior_knowledge,has_any_openalex_metrics,usable_for_composition_analysis,log1p_openalex_matched_reference_count,openalex_reference_field_diversity,openalex_reference_entropy,hss_share_among_matched_refs,cs_share_among_matched_refs
W2584471052,8.33,8.33,2016,cs.CV,1.0986122886681098,2.079441541679836,1,1,2.70805020110221,2.0,0.325082973391448,0.0,0.9
W2147591838,0.0,0.0,2015,cs.MM,1.6094379124341005,3.6375861597263857,1,1,3.4657359027997265,2.0,0.142505867392737,0.0,0.9677419354838712
W2174412056,0.0,0.0,2015,stat.ML,1.3862943611198906,4.477336814478207,1,1,3.367295829986474,4.0,0.711386457135416,0.08,0.8
W2555417674,0.0,0.0,2016,cs.LG,1.0986122886681098,4.553876891600541,1,1,2.5649493574615367,1.0,0.0,0.0,1.0
W2950011704,0.0,0.0,2016,stat.ML,1.0986122886681098,4.477336814478207,1,1,2.772588722239781,4.0,0.754996758130824,0.0,0.785714285714285
W2952250911,7.02,7.02,2014,cs.CV,1.6094379124341005,5.247024072160486,1,1,3.044522437723423,3.0,0.394397691447442,0.0,0.9
W2564726951,0.0,0.0,2016,stat.ML,1.0986122886681098,3.80666248977032,1,1,2.995732273553991,2.0,0.223718076065833,0.0,0.9411764705882352
W2532488433,7.61,7.61,2016,stat.CO,1.0986122886681098,3.1354942159291497,1,0,0.0,,,,
W2511279186,0.0,0.0,2016,stat.ML,1.0986122886681098,3.871201010907891,1,1,3.828641396489095,6.0,0.567067632937967,0.024390243902439,0.8780487804878041
W2951597448,0.0,0.0,2016,cs.LG,1.6094379124341005,4.976733742420574,1,1,3.5263605246161616,5.0,0.5924028775138871,0.068965517241379,0.8620689655172411
W3040426824,0.0,0.0,2016,stat.ML,1.0986122886681098,3.8918202981106265,1,1,4.653960350157523,8.0,0.5495995610440451,0.05,0.89
W4321153488,0.0,0.0,2016,cs.CV,1.9459101490553128,5.1647859739235145,1,0,0.0,,,,
W2465870074,0.0,0.0,2016,cs.CV,1.3862943611198906,4.6443908991413725,1,1,3.5263605246161616,1.0,0.0,0.0,1.0
W2149171634,5.13,5.13,2014,cs.LG,1.791759469228055,4.499809670330265,1,1,3.4011973816621555,4.0,0.470900127917266,0.074074074074074,0.8888888888888881
W2398848749,2.78,2.78,2016,stat.ML,1.6094379124341005,3.4339872044851463,1,1,3.1354942159291497,4.0,1.006385669820259,0.047619047619047,0.476190476190476
W2296030723,17.39,17.39,2016,cs.CV,1.0986122886681098,2.6390573296152584,1,0,0.0,,,,
W2421157170,0.0,0.0,2015,cs.LG,1.6094379124341005,5.424950017481403,1,1,3.1354942159291497,4.0,0.708346577706171,0.0,0.8
W2302747106,0.0,0.0,2016,cs.LG,1.0986122886681098,3.737669618283368,1,1,2.833213344056216,4.0,0.9371558530657,0.0,0.6923076923076921
W2952134811,0.0,0.0,2016,cs.CV,1.0986122886681098,3.828641396489095,1,1,3.9889840465642745,3.0,0.380605576949747,0.0,0.897959183673469
