work_id,resolved_work_id,status,error_stage,error_detail,reference_count_total,reference_count_with_primary_topic,reference_count_missing_primary_topic,reference_count_unresolved,reference_topic_coverage,reference_field_diversity,reference_entropy,hss_reference_share,cs_core_reference_share,processed_at_utc
W2951255789,,OK,,,2,2,0,,,2,0.6931471805599453,0.5,0.5,2026-06-09T20:08:02.739176
W4298075438,W4298075438,NO_REFERENCES,,,0,0,0,0.0,0.0,0,0.0,0.0,0.0,2026-06-10T00:27:26+00:00
W2950637383,,OK,,,29,29,0,,,2,0.5098156995816887,0.0,0.7931034482758621,2026-06-09T20:08:02.739176
W4294233108,W4294233108,NO_REFERENCES,,,0,0,0,0.0,0.0,0,0.0,0.0,0.0,2026-06-10T00:27:26+00:00
W2952822497,,OK,,,31,31,0,,,3,0.28393626675586414,0.0,0.9354838709677419,2026-06-09T20:08:02.740173
W2133564696,,OK,,,22,21,1,,,2,0.19144408195771734,0.047619047619047616,0.9523809523809523,2026-06-09T20:08:02.740173
W2130942839,,OK,,,29,26,3,,,2,0.16302362949436594,0.038461538461538464,0.9615384615384616,2026-06-09T20:08:02.740173
W2525778437,,OK,,,4,4,0,,,1,0.0,0.0,1.0,2026-06-09T20:08:02.740173
W2172140247,,OK,,,9,9,0,,,1,0.0,0.0,1.0,2026-06-09T20:08:02.740173
W1527575280,,OK,,,47,44,3,,,2,0.10847133903591605,0.022727272727272728,0.9772727272727273,2026-06-09T20:08:02.740173
W1938755728,,OK,,,55,49,6,,,1,0.0,0.0,1.0,2026-06-09T20:08:02.740173
W2949335953,,OK,,,12,11,1,,,1,0.0,0.0,1.0,2026-06-09T20:08:02.740173
W1915251500,,OK,,,26,25,1,,,1,0.0,0.0,1.0,2026-06-09T20:08:02.740173
W2540404261,,OK,,,10,9,1,,,2,0.34883209584303193,0.1111111111111111,0.8888888888888888,2026-06-09T20:08:02.740173
W2220350356,,OK,,,26,25,1,,,1,0.0,0.0,1.0,2026-06-09T20:08:02.740173
W2555745756,,OK,,,15,12,3,,,1,0.0,0.0,1.0,2026-06-09T20:08:02.740173
W2410539690,,OK,,,27,25,2,,,2,0.167944147734173,0.04,0.96,2026-06-09T20:08:02.740173
W2567571499,,OK,,,20,20,0,,,1,0.0,0.0,1.0,2026-06-09T20:08:02.740173
W2304113845,,OK,,,15,11,4,,,1,0.0,0.0,1.0,2026-06-09T20:08:02.740173
W2419292002,,OK,,,18,17,1,,,1,0.0,0.0,1.0,2026-06-09T20:08:02.740173
