clean_work_id,stage,year,Reference_Count,InternalRef_Total,InternalRef_Matched,InternalRef_HSS_Matched,InternalRef_Coverage,HSS_Reference_Share_Internal_MatchedBase,HSS_Reference_Share_Internal_TotalBase,RefMeta_Total,RefMeta_Matched,RefMeta_Coverage,Mean_Reference_Age,Median_Reference_Age,Recent_Reference_Share_3y,Mean_Log_Ref_Citations,Median_Log_Ref_Citations
W2530741948,Phase1,2016,47,47.0,9.0,4.0,0.19148936170212766,0.4444444444444444,0.0851063829787234,47.0,9.0,0.19148936170212766,0.2857142857142857,0.0,1.0,6.049910730615746,5.579729825986222
W2412589713,Phase1,2016,22,22.0,6.0,2.0,0.2727272727272727,0.3333333333333333,0.09090909090909091,22.0,6.0,0.2727272727272727,0.4,0.0,1.0,5.940339912556587,5.247231785242473
W2963501406,Phase1,2015,0,0.0,0.0,0.0,,,,0.0,0.0,,,,,,
W2439880944,Phase1,2016,28,28.0,0.0,0.0,0.0,,0.0,28.0,0.0,0.0,,,,,
W2950338739,Phase1,2016,0,0.0,0.0,0.0,,,,0.0,0.0,,,,,,
W2176035349,Phase1,2015,27,27.0,5.0,2.0,0.18518518518518517,0.4,0.07407407407407407,27.0,5.0,0.18518518518518517,0.6,1.0,1.0,5.582762835515956,5.768320995793772
W2416272112,Phase1,2016,14,14.0,2.0,2.0,0.14285714285714285,1.0,0.14285714285714285,14.0,2.0,0.14285714285714285,1.0,1.0,1.0,9.254450085477828,9.254450085477828
W2269752429,Phase1,2016,14,14.0,4.0,1.0,0.2857142857142857,0.25,0.07142857142857142,14.0,4.0,0.2857142857142857,1.3333333333333333,1.0,1.0,8.5947026605745,8.410905693536371
W2559626456,Phase1,2016,19,19.0,3.0,2.0,0.15789473684210525,0.6666666666666666,0.10526315789473684,19.0,3.0,0.15789473684210525,0.6666666666666666,0.0,1.0,5.817887519191025,5.834810737062605
W2469266052,Phase1,2016,32,32.0,3.0,0.0,0.09375,0.0,0.0,32.0,3.0,0.09375,1.3333333333333333,2.0,1.0,7.130841172744712,7.354362330421477
