author_id,year,avg_logRCR,yearly_paper_count,total_papers_raw,is_treated,event_year,relative_year,Post,DID_term,primary_origin_field,T0_year
A5026518815,2016,3.8985999850960056,1,1,0,9999,,0.0,0.0,Computer Science,2016
A5004153109,2015,3.8985999850960056,1,1,0,9999,,0.0,0.0,Computer Science,2014
A5102788327,2014,1.791759469228055,1,1,0,9999,,0.0,0.0,Computer Science,2014
A5016973102,2016,0.13353139262452263,1,1,1,2016,0.0,1.0,1.0,Computer Science,2014
A5046597105,2014,1.0986122886681098,1,1,0,9999,,0.0,0.0,Computer Science,2014
A5000111344,2015,3.8985999850960056,1,1,1,2018,-3.0,0.0,0.0,Computer Science,2014
A5057092051,2016,0.06676569631226131,2,2,0,9999,,0.0,0.0,Computer Science,2016
A5025071606,2016,3.8985999850960056,1,1,1,2019,-3.0,0.0,0.0,Computer Science,2016
A5034424874,2016,2.9722967963541507,2,2,0,9999,,0.0,0.0,Environmental Science,2016
A5086852785,2016,3.8985999850960056,1,1,1,2018,-2.0,0.0,0.0,Neuroscience,2016
A5021053713,2015,3.8985999850960056,2,2,0,9999,,0.0,0.0,Computer Science,2015
A5041794204,2016,0.5493061443340549,2,2,0,9999,,0.0,0.0,Computer Science,2015
A5051781184,2015,1.6094379124341003,1,1,1,2018,-3.0,0.0,0.0,Computer Science,2014
A5055835358,2015,1.6094379124341003,1,1,1,2018,-3.0,0.0,0.0,Computer Science,2014
A5111454036,2016,0.13353139262452263,2,2,0,9999,,0.0,0.0,Computer Science,2016
A5109439414,2016,0.13353139262452263,1,1,0,9999,,0.0,0.0,Computer Science,2016
A5023881129,2015,0.6931471805599453,1,1,0,9999,,0.0,0.0,Computer Science,2015
A5112713734,2016,3.8985999850960056,1,1,1,2018,-2.0,0.0,0.0,Computer Science,2016
A5090113830,2016,2.8874434981170762,1,1,1,2017,-1.0,0.0,0.0,Computer Science,2016
A5070290355,2016,2.8874434981170762,1,1,1,2017,-1.0,0.0,0.0,Computer Science,2016
A5067036768,2016,1.7676619176489945,1,1,1,2018,-2.0,0.0,0.0,Computer Science,2015
A5071983998,2016,1.7676619176489945,1,1,1,2017,-1.0,0.0,0.0,Computer Science,2014
A5100388504,2016,3.6910177324975666,2,2,0,9999,,0.0,0.0,Computer Science,2016
A5087204274,2016,2.6175692324632527,2,2,0,9999,,0.0,0.0,Computer Science,2016
A5030128034,2016,2.6175692324632527,2,2,0,9999,,0.0,0.0,Computer Science,2016
A5028602246,2016,2.6175692324632527,2,2,0,9999,,0.0,0.0,Computer Science,2016
A5083182987,2015,3.8985999850960056,1,1,1,2017,-2.0,0.0,0.0,Mathematics,2015
A5067483843,2016,2.665032816018519,1,1,0,9999,,0.0,0.0,Computer Science,2016
A5045751957,2016,2.665032816018519,1,1,0,9999,,0.0,0.0,Computer Science,2016
A5047001937,2015,3.8985999850960056,1,1,0,9999,,0.0,0.0,Computer Science,2015
A5039663119,2015,3.8985999850960056,1,1,0,9999,,0.0,0.0,Computer Science,2015
A5065728469,2016,2.586689344097943,1,1,1,2019,-3.0,0.0,0.0,Computer Science,2016
A5004153109,2016,2.6984807500860595,1,1,0,9999,,0.0,0.0,Computer Science,2014
A5059792149,2016,2.6984807500860595,1,1,1,2017,-1.0,0.0,0.0,Computer Science,2016
A5103750792,2016,1.201334275775514,2,2,0,9999,,0.0,0.0,Engineering,2016
A5101419280,2016,2.5427262206768266,1,1,0,9999,,0.0,0.0,Engineering,2016
A5001226970,2015,3.7727609380946383,1,1,1,2017,-2.0,0.0,0.0,Computer Science,2015
A5070217169,2016,2.071435437073629,2,2,0,9999,,0.0,0.0,Computer Science,2016
A5084499878,2016,2.1244652230537913,1,1,1,2017,-1.0,0.0,0.0,Engineering,2016
A5009262110,2016,0.6109090823229731,1,1,0,9999,,0.0,0.0,Computer Science,2016
A5103216531,2016,3.4834354798991276,1,1,1,2018,-2.0,0.0,0.0,Computer Science,2016
