work_id,year,arxiv_type,status_std,has_any_openalex_metrics,has_openalex_references,usable_for_count_analysis,composition_metrics_eligible,usable_for_composition_analysis,openalex_matched_reference_count,log1p_openalex_matched_reference_count,openalex_topic_resolved_reference_count,openalex_topic_missing_reference_count,openalex_reference_field_diversity_raw,openalex_reference_entropy_raw,hss_share_among_matched_refs_raw,cs_share_among_matched_refs_raw,openalex_reference_field_diversity,openalex_reference_entropy,hss_share_among_matched_refs,cs_share_among_matched_refs,flag_blank_status,flag_status_inferred,flag_not_enriched,flag_no_openalex_references,flag_ok_count_only,flag_ok_for_composition,flag_count_missing,flag_count_zero,flag_count_positive,flag_zero_but_raw_composition_not_missing,flag_positive_count_but_no_topic_resolved,flag_topic_resolved_gt_total,flag_topic_missing_gt_total
W3083819285,2020,Type 0 (Pure CS),OK_FOR_COMPOSITION,1,1.0,1,1,1,23.0,3.1780538303479458,20.0,3.0,6.0,1.330316283234914,0.35,0.55,6.0,1.330316283234914,0.35,0.55,0,1,0,0,0,1,0,0,1,0,0,0,0
W2952180055,2019,Type 0 (Pure CS),OK_FOR_COMPOSITION,1,1.0,1,1,1,28.0,3.367295829986474,26.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0,1,0,0,0,1,0,0,1,0,0,0,0
W3093551329,2020,Type 0 (Pure CS),OK_FOR_COMPOSITION,1,1.0,1,1,1,34.0,3.5553480614894135,29.0,5.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0,1,0,0,0,1,0,0,1,0,0,0,0
W3194432526,2021,Type 0 (Pure CS),OK_FOR_COMPOSITION,1,1.0,1,1,1,55.0,4.02535169073515,51.0,4.0,5.0,0.383650391932703,0.058823529411764,0.92156862745098,5.0,0.383650391932703,0.058823529411764,0.92156862745098,0,1,0,0,0,1,0,0,1,0,0,0,0
W3212525329,2021,Type 0 (Pure CS),OK_FOR_COMPOSITION,1,1.0,1,1,1,12.0,2.5649493574615367,8.0,4.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0,1,0,0,0,1,0,0,1,0,0,0,0
W3130602232,2021,Type 0 (Pure CS),OK_FOR_COMPOSITION,1,1.0,1,1,1,39.0,3.6888794541139363,34.0,5.0,3.0,0.5783252866601271,0.0,0.8235294117647051,3.0,0.5783252866601271,0.0,0.8235294117647051,0,1,0,0,0,1,0,0,1,0,0,0,0
W2884370868,2018,Type 0 (Pure CS),OK_FOR_COMPOSITION,1,1.0,1,1,1,19.0,2.995732273553991,17.0,2.0,3.0,0.443757284260148,0.0,0.8823529411764701,3.0,0.443757284260148,0.0,0.8823529411764701,0,1,0,0,0,1,0,0,1,0,0,0,0
W2950937143,2017,Type 0 (Pure CS),OK_FOR_COMPOSITION,1,1.0,1,1,1,61.0,4.127134385045092,58.0,3.0,5.0,0.778952224082601,0.017241379310344,0.7241379310344821,5.0,0.778952224082601,0.017241379310344,0.7241379310344821,0,1,0,0,0,1,0,0,1,0,0,0,0
W2768948924,2017,Type 0 (Pure CS),OK_FOR_COMPOSITION,1,1.0,1,1,1,26.0,3.295836866004329,25.0,1.0,8.0,1.477336771003309,0.08,0.56,8.0,1.477336771003309,0.08,0.56,0,1,0,0,0,1,0,0,1,0,0,0,0
W3175738904,2021,Type 0 (Pure CS),OK_FOR_COMPOSITION,1,1.0,1,1,1,52.0,3.970291913552122,38.0,14.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0,1,0,0,0,1,0,0,1,0,0,0,0
W2941565043,2019,Type 1 (Engineering),OK_FOR_COMPOSITION,1,1.0,1,1,1,11.0,2.4849066497880004,10.0,1.0,2.0,0.325082973391448,0.1,0.9,2.0,0.325082973391448,0.1,0.9,0,1,0,0,0,1,0,0,1,0,0,0,0
